timestamp,peer_id,message_redundancy,redundant_blocks,redundant_txs
2025-06-06T22:29:21.330525,5000,0,0,0
2025-06-06T22:29:21.330525,5001,1,0,0
2025-06-06T22:29:21.330525,5002,0,0,0
2025-06-06T22:29:21.330525,5003,0,0,0
2025-06-06T22:29:21.330525,5004,0,0,0
2025-06-06T22:30:21.399755,5000,23,0,0
2025-06-06T22:30:21.399755,5001,25,0,0
2025-06-06T22:30:21.399755,5002,23,0,0
2025-06-06T22:30:21.399755,5003,29,0,0
2025-06-06T22:30:21.399755,5004,24,0,0
2025-06-06T22:31:21.465276,5000,42,0,0
2025-06-06T22:31:21.465276,5001,49,0,0
2025-06-06T22:31:21.465276,5002,39,0,0
2025-06-06T22:31:21.465276,5003,53,0,0
2025-06-06T22:31:21.465276,5004,45,0,0
2025-06-06T22:32:21.522898,5000,64,0,0
2025-06-06T22:32:21.522898,5001,72,0,0
2025-06-06T22:32:21.522898,5002,61,0,0
2025-06-06T22:32:21.522898,5003,89,0,0
2025-06-06T22:32:21.522898,5004,72,0,0
2025-06-06T22:33:21.628417,5000,85,0,0
2025-06-06T22:33:21.628417,5001,96,0,0
2025-06-06T22:33:21.628417,5002,77,0,0
2025-06-06T22:33:21.628417,5003,119,0,0
2025-06-06T22:33:21.628417,5004,85,0,0
2025-06-06T22:34:21.823578,5000,107,0,0
2025-06-06T22:34:21.823578,5001,122,0,0
2025-06-06T22:34:21.823578,5002,101,0,0
2025-06-06T22:34:21.823578,5003,148,0,0
2025-06-06T22:34:21.823578,5004,107,0,0
2025-06-06T22:35:22.001761,5000,133,0,0
2025-06-06T22:35:22.001761,5001,141,0,0
2025-06-06T22:35:22.001761,5002,123,0,0
2025-06-06T22:35:22.001761,5003,177,0,0
2025-06-06T22:35:22.001761,5004,130,0,0
2025-06-06T22:36:22.060619,5000,162,0,0
2025-06-06T22:36:22.060619,5001,167,0,0
2025-06-06T22:36:22.060619,5002,143,0,0
2025-06-06T22:36:22.060619,5003,205,0,0
2025-06-06T22:36:22.060619,5004,155,0,0
2025-06-06T22:37:22.155334,5000,187,0,0
2025-06-06T22:37:22.155334,5001,186,0,0
2025-06-06T22:37:22.155334,5002,164,0,0
2025-06-06T22:37:22.155334,5003,232,0,0
2025-06-06T22:37:22.155334,5004,174,0,0
2025-06-06T22:38:22.211858,5000,212,0,0
2025-06-06T22:38:22.211858,5001,209,0,0
2025-06-06T22:38:22.211858,5002,185,0,0
2025-06-06T22:38:22.211858,5003,265,0,0
2025-06-06T22:38:22.211858,5004,197,0,0
2025-06-06T22:39:22.260935,5000,225,0,0
2025-06-06T22:39:22.260935,5001,231,0,0
2025-06-06T22:39:22.260935,5002,201,0,0
2025-06-06T22:39:22.260935,5003,289,0,0
2025-06-06T22:39:22.260935,5004,220,0,0
2025-06-06T22:40:22.326066,5000,250,0,0
2025-06-06T22:40:22.326066,5001,256,0,0
2025-06-06T22:40:22.326066,5002,226,0,0
2025-06-06T22:40:22.326066,5003,318,0,0
2025-06-06T22:40:22.326066,5004,242,0,0
2025-06-06T22:41:22.389666,5000,273,0,0
2025-06-06T22:41:22.389666,5001,277,0,0
2025-06-06T22:41:22.389666,5002,242,0,0
2025-06-06T22:41:22.389666,5003,341,0,0
2025-06-06T22:41:22.389666,5004,263,0,0
